#t x x_dot energy
4.66466 -0.0489923 1.02245 0.523899
4.67467 -0.0387576 1.02294 0.523952
4.68468 -0.028518 1.02333 0.524004
4.69469 -0.0182745 1.02361 0.524057
4.7047 -0.00802815 1.02379 0.524109
4.71471 0.00222004 1.02387 0.524162
4.72472 0.012469 1.02385 0.524214
4.73473 0.0227178 1.02373 0.524267
4.74474 0.0329653 1.0235 0.524319
4.75475 0.0432106 1.02317 0.524372
4.76476 0.0534525 1.02274 0.524424
4.77477 0.0636901 1.0222 0.524477
4.78478 0.0739224 1.02156 0.524529
4.79479 0.0841482 1.02082 0.524582
4.8048 0.0943667 1.01998 0.524635
4.81481 0.104577 1.01904 0.524687
4.82482 0.114777 1.01799 0.52474
4.83483 0.124967 1.01684 0.524792
4.84484 0.135146 1.01559 0.524845
4.85485 0.145312 1.01424 0.524897
4.86486 0.155465 1.01278 0.52495
4.87487 0.165603 1.01123 0.525003
4.88488 0.175725 1.00957 0.525055
4.89489 0.185831 1.00781 0.525108
4.9049 0.195919 1.00595 0.52516
4.91491 0.205989 1.00399 0.525213
4.92492 0.216039 1.00193 0.525266
4.93493 0.226068 0.999765 0.525318
4.94494 0.236075 0.997502 0.525371
4.95495 0.24606 0.995139 0.525424
4.96496 0.256022 0.992676 0.525476
4.97497 0.265959 0.990113 0.525529
4.98498 0.27587 0.987451 0.525582
4.99499 0.285754 0.984689 0.525634
5.00501 0.295611 0.981829 0.525687
5.01502 0.305439 0.97887 0.52574
5.02503 0.315237 0.975812 0.525792
5.03504 0.325005 0.972657 0.525845
5.04505 0.334742 0.969404 0.525898
5.05506 0.344445 0.966053 0.52595
5.06507 0.354115 0.962605 0.526003
5.07508 0.363751 0.95906 0.526056
5.08509 0.373351 0.955419 0.526108
5.0951 0.382915 0.951682 0.526161
5.10511 0.392441 0.947849 0.526214
5.11512 0.401929 0.94392 0.526267
5.12513 0.411378 0.939897 0.526319
5.13514 0.420786 0.935779 0.526372
5.14515 0.430154 0.931567 0.526425
5.15516 0.439479 0.927261 0.526478
5.16517 0.448761 0.922862 0.52653
5.17518 0.457998 0.91837 0.526583
5.18519 0.467191 0.913786 0.526636
5.1952 0.476338 0.909109 0.526689
5.20521 0.485438 0.904341 0.526741
5.21522 0.494491 0.899482 0.526794
5.22523 0.503495 0.894532 0.526847
5.23524 0.512449 0.889492 0.5269
5.24525 0.521353 0.884362 0.526953
5.25526 0.530205 0.879143 0.527005
5.26527 0.539006 0.873836 0.527058
5.27528 0.547753 0.868441 0.527111
5.28529 0.556446 0.862957 0.527164
5.2953 0.565084 0.857387 0.527217
5.30531 0.573666 0.851731 0.527269
5.31532 0.582192 0.845989 0.527322
5.32533 0.590661 0.840161 0.527375
5.33534 0.599071 0.834248 0.527428
5.34535 0.607421 0.828252 0.527481
5.35536 0.615712 0.822171 0.527534
5.36537 0.623942 0.816008 0.527586
5.37538 0.63211 0.809762 0.527639
5.38539 0.640216 0.803435 0.527692
5.3954 0.648259 0.797026 0.527745
5.40541 0.656237 0.790537 0.527798
5.41542 0.66415 0.783968 0.527851
5.42543 0.671998 0.77732 0.527904
5.43544 0.679779 0.770593 0.527957
5.44545 0.687492 0.763789 0.52801
5.45546 0.695138 0.756907 0.528062
5.46547 0.702714 0.749949 0.528115
5.47548 0.710221 0.742915 0.528168
5.48549 0.717658 0.735805 0.528221
5.4955 0.725023 0.728621 0.528274
5.50551 0.732317 0.721364 0.528327
5.51552 0.739538 0.714033 0.52838
5.52553 0.746685 0.706631 0.528433
5.53554 0.753759 0.699156 0.528486
5.54555 0.760757 0.691611 0.528539
5.55556 0.76768 0.683996 0.528592
5.56557 0.774527 0.676312 0.528645
5.57558 0.781297 0.668559 0.528698
5.58559 0.787989 0.660738 0.528751
5.5956 0.794603 0.65285 0.528804
5.60561 0.801138 0.644896 0.528857
5.61562 0.807594 0.636877 0.52891
5.62563 0.813969 0.628793 0.528963
5.63564 0.820263 0.620645 0.529016
